src_ip,dst_ip,src_port,dst_port,protocol,duration,packet_count,byte_count,packets_per_second,bytes_per_second,avg_packet_size,min_packet_size,max_packet_size,iat_mean,iat_std,iat_min,iat_max,syn_count,ack_count,fin_count,rst_count,psh_count,label
10.0.2.2,10.0.1.3,34338,80,6,8.5884,37,26233,4.31,3054.48,709.0,297,1386,0.238566,0.105107,0.103381,0.494632,2,28,0,0,0,normal
10.0.1.4,10.0.2.4,39383,3306,6,27.9172,85,64600,3.04,2313.98,760.0,500,1017,0.332348,0.134412,0.137002,0.64547,3,18,0,0,0,normal
10.0.1.2,10.0.1.3,57560,6379,6,23.4377,62,79050,2.65,3372.78,1275.0,606,1574,0.384224,0.053484,0.070944,0.686497,2,27,0,0,0,normal
10.0.1.2,10.0.2.3,55344,23,6,4.9353,21,3150,4.26,638.26,150.0,112,268,0.246763,0.038724,0.04985,0.70355,12,0,5,10,0,bruteforce
10.0.1.2,10.0.2.1,54416,546,6,0.2042,3,180,14.69,881.62,60.0,23,113,0.102085,0.028859,0.031104,0.224393,3,0,0,0,0,portscan
10.0.2.2,10.0.1.1,45049,3306,6,22.8737,25,14300,1.09,625.17,572.0,390,1106,0.95307,0.462623,0.171663,2.390666,3,19,0,0,0,normal
10.0.2.4,10.0.2.3,0,0,1,0.5377,1,103,1.86,191.57,103.0,44,151,0.0,0.0,0.0,0.0,0,0,0,0,0,normal
10.0.2.1,10.0.2.2,38977,21,6,2.2056,28,4620,12.69,2094.63,165.0,114,259,0.08169,0.018498,0.018417,0.145811,13,0,0,15,0,bruteforce
10.0.1.2,10.0.2.3,19459,443,6,11.9035,307,18420,25.79,1547.44,60.0,26,114,0.0389,0.012159,0.015752,0.113053,307,0,0,0,0,ddos
10.0.2.2,10.0.1.1,45813,3389,6,7.1184,24,4416,3.37,620.37,184.0,62,221,0.309494,0.148262,0.111384,0.487114,14,1,1,11,0,bruteforce
10.0.1.3,10.0.2.3,33844,514,17,3.1193,11,2310,3.53,740.55,210.0,117,390,0.311932,0.105533,0.040742,0.562256,0,0,0,0,0,normal
10.0.1.3,10.0.1.2,58211,443,6,5.8597,9,1080,1.54,184.31,120.0,80,177,0.732464,0.108825,0.332897,1.927968,1,4,0,0,0,normal
10.0.1.2,10.0.1.1,43321,5432,6,6.8037,94,51042,13.82,7502.08,543.0,240,656,0.073158,0.017232,0.032776,0.176969,1,52,0,0,0,normal
10.0.1.1,10.0.1.4,62565,946,6,0.2387,2,120,8.38,502.65,60.0,31,86,0.238734,0.097225,0.044032,0.555573,2,0,0,1,0,portscan
10.0.1.2,10.0.2.2,45218,27017,6,17.8894,22,9020,1.23,504.21,410.0,256,493,0.851878,0.338852,0.087544,1.71146,1,17,0,0,0,normal
10.0.2.4,10.0.1.4,54194,3306,6,19.6713,18,4176,0.92,212.29,232.0,139,459,1.157134,0.293224,0.4184,3.022145,2,5,0,0,0,normal
10.0.2.3,10.0.1.4,36319,657,6,0.4981,1,60,2.01,120.45,60.0,28,76,0.0,0.0,0.0,0.0,1,0,0,1,0,portscan
10.0.1.4,10.0.1.3,62781,21,6,1.7141,31,9331,18.09,5443.64,301.0,167,546,0.057137,0.009516,0.020534,0.153182,19,7,0,11,0,bruteforce
10.0.1.1,10.0.2.3,59757,27017,6,28.6309,82,100286,2.86,3502.72,1223.0,745,1583,0.353468,0.072037,0.132421,0.561627,3,53,0,0,0,normal
10.0.2.4,10.0.1.1,47513,161,17,3.9564,16,832,4.04,210.29,52.0,39,69,0.26376,0.09203,0.048324,0.629041,0,0,0,0,0,normal
10.0.1.4,10.0.2.3,38415,32921,17,20.97,1624,1710072,77.44,81548.31,1053.0,658,1844,0.012921,0.001538,0.005561,0.028833,0,0,0,0,0,ddos
10.0.2.1,10.0.1.2,0,0,1,0.7252,1,74,1.38,102.05,74.0,53,101,0.0,0.0,0.0,0.0,0,0,0,0,0,normal
10.0.1.3,10.0.1.4,54296,23,6,9.1338,18,6480,1.97,709.45,360.0,185,599,0.537283,0.206093,0.177077,0.834354,12,5,1,14,0,bruteforce
10.0.2.2,10.0.2.1,48243,27017,6,22.0823,68,96084,3.08,4351.17,1413.0,784,2553,0.329587,0.060605,0.112952,0.787873,3,60,0,0,0,normal
10.0.1.3,10.0.1.4,64765,22,6,7.882,33,11484,4.19,1457.0,348.0,274,568,0.246312,0.033255,0.071906,0.662299,17,2,1,6,0,bruteforce
10.0.2.3,10.0.2.1,46568,3306,6,2.0833,59,83013,28.32,39847.16,1407.0,856,2384,0.035919,0.01423,0.01164,0.062863,3,44,0,0,0,normal
10.0.2.3,10.0.2.2,41636,161,17,1.8656,2,332,1.07,177.95,166.0,119,291,1.865649,0.311644,0.318403,5.470218,0,0,0,0,0,normal
10.0.1.2,10.0.2.1,0,0,1,13.2132,463,32410,35.04,2452.85,70.0,38,110,0.0286,0.006671,0.00667,0.080907,0,0,0,0,0,ddos
10.0.2.2,10.0.1.1,59158,21,6,1.3554,47,11468,34.68,8461.28,244.0,193,329,0.029464,0.014572,0.009057,0.077117,11,1,1,8,0,bruteforce
10.0.1.1,10.0.2.2,0,0,1,22.257,476,39984,21.39,1796.47,84.0,52,152,0.046857,0.010696,0.0195,0.130086,0,0,0,0,0,ddos
10.0.2.1,10.0.1.3,57244,22,6,4.0512,46,14996,11.35,3701.62,326.0,244,452,0.090027,0.010542,0.044112,0.249109,9,0,2,12,0,bruteforce
10.0.1.2,10.0.1.3,35851,22,6,5.4922,45,40590,8.19,7390.52,902.0,404,1296,0.124822,0.025971,0.034242,0.243352,3,29,0,0,0,normal
10.0.1.1,10.0.2.3,17032,20686,17,8.3314,1130,687040,135.63,82464.3,608.0,258,884,0.007379,0.002544,0.002227,0.018409,0,0,0,0,0,ddos
10.0.1.1,10.0.2.4,51130,80,6,21.6998,54,60750,2.49,2799.56,1125.0,536,1419,0.409431,0.085167,0.125004,1.194707,1,49,0,0,0,normal
10.0.1.2,10.0.2.1,21314,57949,17,14.6388,1966,2227478,134.3,152163.05,1133.0,801,2236,0.00745,0.003561,0.001262,0.013633,0,0,0,0,0,ddos
10.0.2.3,10.0.1.4,49793,514,17,0.4448,15,2340,33.72,5260.21,156.0,54,286,0.031775,0.011305,0.006581,0.09141,0,0,0,0,0,normal
10.0.2.4,10.0.2.2,64360,23,6,5.1635,30,9390,5.81,1818.54,313.0,143,550,0.178051,0.049975,0.024997,0.434271,20,6,2,9,0,bruteforce
10.0.1.3,10.0.2.4,22075,38364,17,41.5982,1849,1066873,44.45,25647.1,577.0,205,1139,0.02251,0.006994,0.010918,0.040424,0,0,0,0,0,ddos
10.0.2.2,10.0.2.3,61518,443,6,24.4993,90,95850,3.67,3912.36,1065.0,408,1467,0.275273,0.136434,0.109405,0.616289,1,44,0,0,0,normal
10.0.1.3,10.0.2.3,51346,8080,6,20.2489,901,54060,44.5,2669.77,60.0,19,105,0.022499,0.002569,0.002925,0.058585,901,0,0,0,0,ddos
10.0.2.3,10.0.1.4,44577,818,6,0.4266,1,60,2.34,140.64,60.0,34,77,0.0,0.0,0.0,0.0,1,0,0,0,0,portscan
10.0.2.3,10.0.1.4,37721,8080,6,26.0993,51,58293,1.95,2233.51,1143.0,719,1664,0.521986,0.167333,0.126978,1.501914,3,35,0,0,0,normal
10.0.2.4,10.0.1.4,33748,22,6,15.3,54,7344,3.53,480.0,136.0,94,253,0.28868,0.09657,0.046094,0.535587,3,26,0,0,0,normal
10.0.1.1,10.0.2.1,27762,64286,17,47.5949,1147,1385576,24.1,29111.87,1208.0,665,1607,0.041531,0.019076,0.019043,0.123535,0,0,0,0,0,ddos
10.0.1.2,10.0.2.1,40296,80,6,19.1534,68,13328,3.55,695.86,196.0,115,263,0.285872,0.041851,0.107604,0.55256,2,44,0,0,0,normal
10.0.2.4,10.0.2.2,46124,123,17,3.7756,10,1700,2.65,450.26,170.0,100,320,0.419507,0.107323,0.142268,0.823257,0,0,0,0,0,normal
10.0.2.4,10.0.2.2,0,0,1,1.3762,1,101,0.73,73.39,101.0,42,137,0.0,0.0,0.0,0.0,0,0,0,0,0,normal
10.0.2.4,10.0.1.4,47571,23,6,2.9937,40,17960,13.36,5999.36,449.0,202,645,0.07676,0.032729,0.032363,0.135178,15,0,2,14,0,bruteforce
10.0.1.4,10.0.1.2,37295,514,17,1.3582,1,470,0.74,346.06,470.0,186,820,0.0,0.0,0.0,0.0,0,0,0,0,0,normal
10.0.1.2,10.0.2.3,13477,8080,6,47.8748,682,40920,14.25,854.73,60.0,44,72,0.070301,0.010311,0.03182,0.11992,682,0,0,0,0,ddos
10.0.2.3,10.0.2.2,51764,3306,6,3.0087,38,16188,12.63,5380.41,426.0,291,562,0.081316,0.025696,0.017473,0.185672,1,37,0,0,0,normal
10.0.1.3,10.0.2.4,56065,6379,6,10.8066,37,8103,3.42,749.82,219.0,69,339,0.300183,0.118251,0.091378,0.680016,2,17,0,0,0,normal
10.0.1.1,10.0.2.1,53459,8,6,0.3566,3,180,8.41,504.79,60.0,26,98,0.178293,0.022811,0.071552,0.34578,3,0,0,0,0,portscan
10.0.1.4,10.0.2.4,57676,80,6,8.9974,33,32637,3.67,3627.38,989.0,495,1294,0.281169,0.106894,0.088947,0.708598,1,27,0,0,0,normal
10.0.2.1,10.0.1.3,0,0,1,1.1504,2,174,1.74,151.25,87.0,48,108,1.150438,0.474505,0.271155,2.765016,0,0,0,0,0,normal
10.0.2.2,10.0.2.4,53587,27017,6,7.3863,32,41632,4.33,5636.37,1301.0,1022,1584,0.238268,0.0323,0.087717,0.672066,2,27,0,0,0,normal
10.0.2.4,10.0.1.3,59379,27017,6,3.3017,68,60452,20.6,18309.51,889.0,340,1518,0.049279,0.01982,0.019186,0.134939,1,55,0,0,0,normal
10.0.2.1,10.0.2.4,35615,22,6,4.6424,18,5814,3.88,1252.36,323.0,186,485,0.273084,0.028479,0.067762,0.808387,16,3,2,5,0,bruteforce
10.0.1.3,10.0.2.1,57510,443,6,22.5495,90,105750,3.99,4689.68,1175.0,574,2289,0.253365,0.097825,0.095065,0.725616,2,21,0,0,0,normal
10.0.1.1,10.0.2.1,60247,514,17,4.0235,20,8300,4.97,2062.89,415.0,171,599,0.211762,0.099283,0.103085,0.469563,0,0,0,0,0,normal
10.0.1.1,10.0.2.2,0,0,1,22.7741,417,34194,18.31,1501.44,82.0,26,124,0.054745,0.026929,0.027078,0.160819,0,0,0,0,0,ddos
10.0.1.1,10.0.1.4,48310,80,6,28.8554,56,14392,1.94,498.76,257.0,194,336,0.524643,0.056033,0.108358,1.303231,1,40,0,0,0,normal
10.0.2.4,10.0.1.2,60294,27017,6,1.7883,83,54365,46.41,30400.28,655.0,271,871,0.021809,0.003044,0.010809,0.041211,3,4,0,0,0,normal
10.0.1.1,10.0.2.2,0,0,1,0.4308,5,415,11.61,963.24,83.0,25,127,0.107709,0.012178,0.015938,0.22931,0,0,0,0,0,normal
10.0.2.1,10.0.1.4,37715,27017,6,3.649,65,86060,17.81,23584.84,1324.0,935,2230,0.057015,0.01351,0.026269,0.145641,2,6,0,0,0,normal
10.0.1.3,10.0.1.4,62776,8080,6,27.1671,82,82000,3.02,3018.36,1000.0,347,1317,0.335396,0.107238,0.045436,0.980354,2,34,0,0,0,normal
10.0.1.4,10.0.2.2,0,0,1,0.482,2,222,4.15,460.6,111.0,38,185,0.481977,0.227149,0.154073,1.0073,0,0,0,0,0,normal
10.0.1.1,10.0.2.3,15622,55165,17,39.383,1555,1310865,39.48,33285.03,843.0,469,1604,0.025343,0.005256,0.00682,0.05899,0,0,0,0,0,ddos
10.0.2.4,10.0.2.3,36833,815,6,0.2113,3,180,14.2,852.05,60.0,18,96,0.105628,0.029799,0.039272,0.266782,3,0,0,3,0,portscan
10.0.1.1,10.0.2.4,16241,986,17,51.9516,1083,825246,20.85,15884.89,762.0,338,1017,0.048014,0.011574,0.015471,0.101033,0,0,0,0,0,ddos
10.0.1.3,10.0.2.1,0,0,1,0.1674,1,113,5.98,675.23,113.0,53,154,0.0,0.0,0.0,0.0,0,0,0,0,0,normal
10.0.1.1,10.0.2.1,42652,747,6,0.3234,1,60,3.09,185.54,60.0,27,74,0.0,0.0,0.0,0.0,1,0,0,1,0,portscan
10.0.1.2,10.0.2.2,48420,23,6,6.6598,33,5412,4.96,812.63,164.0,81,252,0.20812,0.05393,0.077554,0.589054,15,8,2,6,0,bruteforce
10.0.2.3,10.0.2.4,51182,286,6,0.2372,1,60,4.22,252.96,60.0,45,112,0.0,0.0,0.0,0.0,1,0,0,1,0,portscan
10.0.1.2,10.0.2.3,55964,161,17,4.4524,8,616,1.8,138.35,77.0,36,115,0.636051,0.220039,0.144909,1.180626,0,0,0,0,0,normal
10.0.1.2,10.0.2.2,33253,23,6,1.5354,38,8930,24.75,5816.08,235.0,141,396,0.041497,0.0199,0.012044,0.086898,16,1,1,10,0,bruteforce
10.0.2.3,10.0.1.3,44628,883,6,0.3972,1,60,2.52,151.06,60.0,30,87,0.0,0.0,0.0,0.0,1,0,0,1,0,portscan
10.0.2.1,10.0.1.1,0,0,1,1.1472,3,291,2.61,253.65,97.0,32,140,0.573622,0.229027,0.264049,1.297106,0,0,0,0,0,normal
10.0.1.3,10.0.1.2,45583,22,6,6.367,39,18564,6.13,2915.68,476.0,278,842,0.167551,0.072587,0.018996,0.274562,13,10,3,7,0,bruteforce
10.0.2.4,10.0.2.1,60630,443,6,22.6647,99,142362,4.37,6281.22,1438.0,747,2869,0.231272,0.064732,0.055374,0.630239,2,5,0,0,0,normal
10.0.1.2,10.0.1.3,33394,27017,6,22.8778,50,43750,2.19,1912.33,875.0,528,1227,0.466895,0.093237,0.223813,1.04313,2,21,0,0,0,normal
10.0.1.1,10.0.2.2,42751,22,6,29.5992,41,15703,1.39,530.52,383.0,247,498,0.73998,0.132094,0.209827,1.332287,2,24,0,0,0,normal
10.0.1.1,10.0.2.3,58338,8080,6,3.9288,64,28416,16.29,7232.78,444.0,205,638,0.062362,0.016096,0.006797,0.107177,1,51,0,0,0,normal
10.0.1.2,10.0.2.2,50430,21,6,7.7,20,7400,2.6,961.04,370.0,189,546,0.405261,0.166632,0.157478,1.164052,15,2,1,14,0,bruteforce
10.0.2.3,10.0.1.4,43751,6379,6,20.5461,45,6435,2.19,313.2,143.0,70,205,0.466958,0.10601,0.123395,1.202957,3,35,0,0,0,normal
10.0.2.3,10.0.2.1,35318,80,6,25.4608,9,10143,0.35,398.38,1127.0,732,1441,3.1826,1.121242,0.458085,4.926967,1,9,0,0,0,normal
10.0.2.3,10.0.1.4,45491,22,6,14.0034,34,41174,2.43,2940.29,1211.0,832,1498,0.424345,0.043577,0.07525,0.82499,1,23,0,0,0,normal
10.0.1.2,10.0.2.2,13413,16384,17,44.0375,761,807421,17.28,18334.87,1061.0,642,1307,0.057944,0.019171,0.017519,0.095855,0,0,0,0,0,ddos
10.0.2.3,10.0.1.1,41270,53,17,3.7822,13,3965,3.44,1048.32,305.0,165,502,0.315185,0.057759,0.041481,0.853604,0,0,0,0,0,normal
10.0.1.1,10.0.2.2,63820,80,6,14.4408,67,40602,4.64,2811.62,606.0,340,808,0.218799,0.071527,0.108561,0.602363,1,3,0,0,0,normal
10.0.1.1,10.0.2.4,0,0,1,1.0526,1,80,0.95,76.0,80.0,60,107,0.0,0.0,0.0,0.0,0,0,0,0,0,normal
10.0.2.2,10.0.1.3,56995,514,17,0.9119,4,1180,4.39,1293.97,295.0,124,418,0.303974,0.110412,0.147601,0.754262,0,0,0,0,0,normal
10.0.1.1,10.0.1.3,55318,514,17,3.3233,10,3680,3.01,1107.34,368.0,242,507,0.369254,0.062523,0.085365,0.634047,0,0,0,0,0,normal
10.0.1.4,10.0.2.4,33660,28147,17,51.2033,1200,758400,23.44,14811.55,632.0,263,1092,0.042705,0.012986,0.010861,0.092017,0,0,0,0,0,ddos
10.0.1.1,10.0.2.4,59527,8080,6,27.4047,23,12535,0.84,457.4,545.0,337,819,1.245668,0.167684,0.292434,2.775586,1,6,0,0,0,normal
10.0.2.4,10.0.2.2,64191,22,6,21.1417,81,8343,3.83,394.62,103.0,69,190,0.264272,0.105274,0.127181,0.640327,3,56,0,0,0,normal
10.0.2.3,10.0.1.1,46107,126,6,0.0335,1,60,29.83,1789.67,60.0,37,117,0.0,0.0,0.0,0.0,1,0,0,1,0,portscan
10.0.1.2,10.0.2.1,49968,21,6,5.9195,26,3328,4.39,562.21,128.0,56,176,0.23678,0.091526,0.046528,0.38193,14,10,3,13,0,bruteforce
10.0.1.1,10.0.2.2,56717,6379,6,10.3627,79,25596,7.62,2470.02,324.0,188,629,0.132855,0.050692,0.045218,0.374812,2,27,0,0,0,normal
10.0.2.3,10.0.1.1,63141,5432,6,20.0168,68,47872,3.4,2391.59,704.0,323,1265,0.298758,0.147166,0.100447,0.50956,2,35,0,0,0,normal
10.0.2.3,10.0.1.4,0,0,1,0.5124,3,210,5.86,409.87,70.0,39,109,0.256177,0.101504,0.069409,0.538119,0,0,0,0,0,normal
10.0.1.4,10.0.2.4,0,0,1,8.5467,430,53750,50.31,6288.95,125.0,60,236,0.019922,0.006688,0.009036,0.041482,0,0,0,0,0,ddos
10.0.1.1,10.0.1.2,0,0,1,1.6736,1,73,0.6,43.62,73.0,34,95,0.0,0.0,0.0,0.0,0,0,0,0,0,normal
10.0.1.2,10.0.2.4,52514,737,6,0.3446,1,60,2.9,174.1,60.0,27,84,0.0,0.0,0.0,0.0,1,0,0,1,0,portscan
10.0.1.3,10.0.2.1,36152,514,17,0.2658,10,2010,37.62,7561.4,201.0,121,384,0.029536,0.014557,0.013614,0.052092,0,0,0,0,0,normal
10.0.1.3,10.0.2.3,0,0,1,17.8456,449,57023,25.16,3195.36,127.0,101,158,0.039834,0.006768,0.007514,0.081731,0,0,0,0,0,ddos
10.0.2.1,10.0.2.3,46252,443,6,8.6124,89,108046,10.33,12545.46,1214.0,810,2405,0.097868,0.017627,0.029648,0.16504,3,5,0,0,0,normal
10.0.1.1,10.0.2.1,0,0,1,22.1999,144,17424,6.49,784.87,121.0,37,179,0.155244,0.0736,0.030059,0.432225,0,0,0,0,0,ddos
10.0.1.1,10.0.2.2,0,0,1,21.3481,247,25441,11.57,1191.72,103.0,73,164,0.086781,0.037394,0.042743,0.147258,0,0,0,0,0,ddos
10.0.1.3,10.0.2.4,0,0,1,1.2286,1,80,0.81,65.11,80.0,43,153,0.0,0.0,0.0,0.0,0,0,0,0,0,normal
10.0.2.2,10.0.2.3,48314,3306,6,4.7629,71,83354,14.91,17500.56,1174.0,642,2028,0.068042,0.015289,0.023919,0.107682,1,65,0,0,0,normal
10.0.1.2,10.0.2.3,0,0,1,13.7733,185,11840,13.43,859.64,64.0,23,123,0.074855,0.010636,0.023143,0.130157,0,0,0,0,0,ddos
10.0.1.3,10.0.1.2,38808,379,6,0.4179,1,60,2.39,143.57,60.0,25,116,0.0,0.0,0.0,0.0,1,0,0,1,0,portscan
10.0.2.1,10.0.1.3,33450,5432,6,5.7137,33,22176,5.78,3881.2,672.0,288,1143,0.178553,0.069464,0.067001,0.521104,1,7,0,0,0,normal
10.0.1.3,10.0.2.3,53017,22,6,17.85,41,57605,2.3,3227.17,1405.0,1017,2706,0.44625,0.090998,0.112789,0.816124,3,34,0,0,0,normal
10.0.1.2,10.0.2.3,0,0,1,12.4588,397,32554,31.87,2612.94,82.0,49,156,0.031461,0.014647,0.003617,0.090506,0,0,0,0,0,ddos
10.0.2.1,10.0.2.2,49947,32,6,0.3873,2,120,5.16,309.82,60.0,30,90,0.387327,0.13346,0.111109,1.066494,2,0,0,2,0,portscan
10.0.2.1,10.0.1.4,54120,22,6,1.0331,23,31878,22.26,30857.54,1386.0,1041,2678,0.046958,0.012217,0.011085,0.095118,3,3,0,0,0,normal
10.0.1.2,10.0.2.4,37916,8080,6,1.9793,36,39564,18.19,19988.84,1099.0,547,1415,0.056552,0.016194,0.025799,0.098894,3,18,0,0,0,normal
10.0.2.4,10.0.2.2,58364,8080,6,19.9145,73,62196,3.67,3123.14,852.0,592,1154,0.276591,0.120343,0.097469,0.423797,1,42,0,0,0,normal
10.0.2.4,10.0.2.3,41824,6379,6,14.8408,11,12287,0.74,827.92,1117.0,622,1399,1.484079,0.46423,0.468434,4.182833,2,5,0,0,0,normal
10.0.1.2,10.0.1.3,48386,678,6,0.4042,1,60,2.47,148.43,60.0,43,116,0.0,0.0,0.0,0.0,1,0,0,0,0,portscan
10.0.2.4,10.0.1.1,0,0,1,0.6348,3,228,4.73,359.19,76.0,43,129,0.31738,0.045795,0.14745,0.770097,0,0,0,0,0,normal
10.0.2.4,10.0.2.2,0,0,1,0.2158,1,115,4.63,532.95,115.0,44,191,0.0,0.0,0.0,0.0,0,0,0,0,0,normal
10.0.1.3,10.0.2.4,44245,53,17,2.9397,6,888,2.04,302.07,148.0,77,181,0.587946,0.243974,0.220584,1.517875,0,0,0,0,0,normal
10.0.2.3,10.0.1.4,44933,443,6,9.8283,8,4952,0.81,503.85,619.0,220,825,1.404042,0.557956,0.5854,4.209585,3,5,0,0,0,normal
10.0.1.1,10.0.1.3,57250,23,6,6.1545,10,3460,1.62,562.19,346.0,145,451,0.683831,0.310861,0.101984,1.12907,18,1,2,13,0,bruteforce
10.0.1.4,10.0.1.1,36804,292,6,0.1073,2,120,18.63,1117.98,60.0,40,73,0.107337,0.052711,0.013443,0.293298,2,0,0,2,0,portscan
10.0.2.1,10.0.1.4,0,0,1,1.2497,4,392,3.2,313.68,98.0,39,159,0.416557,0.070051,0.128845,0.993035,0,0,0,0,0,normal
10.0.2.3,10.0.1.1,55179,53,17,1.3243,18,1656,13.59,1250.44,92.0,56,130,0.077902,0.023858,0.033326,0.201867,0,0,0,0,0,normal
